Beat1, 	 Beat2, 	 Correlation 
"('0924', '1623')",0.9677274072436457
"('0123', '1834')",0.967670445937147
"('1711', '2032')",0.9674751287223365
"('1654', '2031')",0.9674351585328395
"('1431', '1434')",0.9674180795616019
"('0323', '0932')",0.9671667574363101
"('2212', '2525')",0.9670948412942967
"('0424', '2532')",0.9670572074620811
"('0921', '1533')",0.9669968734888306
"('0414', '0723')",0.9669757845983562
"('0121', '2013')",0.9669692383186606
"('1622', '1713')",0.9669387054974405
"('1511', '1914')",0.9669190823037933
"('0222', '1724')",0.9669020409490842
"('0111', '0123')",0.9668942124690596
"('0812', '1613')",0.9668885881701663
"('0811', '1631')",0.9667121035092354
"('0911', '1413')",0.9666394206229658
"('1112', '1233')",0.9665132607970826
"('0412', '0922')",0.966473501244733
"('0822', '2535')",0.9663877515616577
"('1112', '1114')",0.9663742055740018
"('0214', '1431')",0.966288198217747
"('1225', '1523')",0.9662435727581465
"('0221', '0433')",0.9660300131546525
"('0634', '1811')",0.9658088479410684
"('0414', '1532')",0.9657099688639967
"('0412', '0915')",0.9656874388191006
"('0232', '0821')",0.9656054338473679
"('1513', '2512')",0.9655840012385248
"('1135', '1411')",0.965569706597045
"('1912', '2032')",0.9653878770132471
"('0114', '0621')",0.9653317857981389
"('0432', '2212')",0.9653270374838674
"('1523', '1631')",0.965280152930218
"('1632', '2511')",0.9652781893178657
"('1522', '1531')",0.9652630686942916
